Symbol,Last_Date,Close,8EMA,8EMA_Prev,Close_>_8EMA,8EMA_Rising,8EMA_Uptrend
PFOCUS,2026-04-02,331.2,315.76,311.35,True,True,True
MTARTECH,2026-04-02,3576.3,3547.04,3538.68,True,True,True
STLTECH,2026-04-02,177.83,181.53,182.59,False,False,False
NATIONALUM,2026-04-02,401.8,384.2,379.18,True,True,True
GVT&D,2026-04-02,3822.2,3725.81,3698.27,True,True,True
POWERINDIA,2026-04-02,25325.0,24932.77,24820.71,True,True,True
BLISSGVS,2026-04-02,234.18,220.51,216.61,True,True,True
ATHERENERG,2026-04-02,762.15,762.15,762.15,False,False,False
AEROFLEX,2026-04-02,252.79,244.84,242.57,True,True,True
DEEDEV,2026-04-02,300.95,282.63,277.39,True,True,True
OMNI,2026-04-02,278.55,251.97,244.38,True,True,True
QPOWER,2026-04-02,871.65,844.07,836.19,True,True,True
APOLLOPIPE,2026-04-02,434.95,418.64,413.98,True,True,True
AVANTIFEED,2026-04-02,1213.9,1206.58,1204.49,True,True,True
NETWEB,2026-04-02,3155.0,3176.98,3183.26,False,False,False
TDPOWERSYS,2026-04-02,863.4,854.46,851.91,True,True,True
DATAPATTNS,2026-04-02,3055.3,3133.01,3155.21,False,False,False
GESHIP,2026-04-02,1439.6,1426.16,1422.32,True,True,True
BAJAJCON,2026-04-02,360.45,356.29,355.1,True,True,True
GMDCLTD,2026-04-02,582.35,571.36,568.22,True,True,True
